gid,__gid,objectid,uf,pnv,tipo,administra,codigo,contador,coincide1,contador1,coincide2,contador2,coincide3,contador3,coincide,concessao,oaes,fonte,observacao,adequacao,ext_trecho,lado,complement,lado_km,codigo_uni,fotodir,km_i_trech,km_f_trech,nome,mp082_2002,buffer,ar_mm,ar_mm_dist,ar_rh,ar_rh_dist,pcd_cem,pcd_cem_di,rdr_cem,rdr_cem_di,pcd_out,pcd_out_di,rdr_out,rdr_out_di,indice,md_radar,indice_1,degree,degree_in,degree_out,clustering_coeff,avg_shortest_path,betweeness,closeness,vulnerab,infinity,infinity_norm
300,23076,18636,SC,116BSC2830,Pavimentada,Federal,BR-116,3.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,VE,GPS,,,0.019156515120000,S,,0E-15,SC116S,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1484,0.231715839050000,0.250872354170000,,,"SRID=4326;POLYGON((-53.5594394690464 -22.8674049908597,-53.5776860198268 -22.8517238380026,-53.5776652254782 -22.8516996417499,-53.4844962224345 -22.7626681608587,-53.4757965383345 -22.7705425255678,-53.3958398847737 -22.6779489433671,-52.8690230474064 -",24225,1.916088270384000,3687,0E-15,6393,1.263917622769000,37,804.489597455710054,570,1.541243599253000,25,88.483450038941996,1.26392,88.4835,0.676967,2,2,2,0.00,47.4564,3590.000000,0.0012,0.003132,1265772,0.536854
301,23082,18781,SC,,Pavimentada,Estadual,SC-120,0E-15,,0E-15,,0E-15,,0E-15,,,,Mapa DER 2005,,,0.123922602420000,,,0E-15,SC120,,0E-15,0E-15,,,"SRID=4326;POLYGON((-55.6144370210408 -25.8455818722264,-55.6143548131337 -25.8450565944889,-55.6142643370845 -25.8444785376873,-55.6142448734099 -25.8443542991675,-55.3684660314314 -24.8954979194013,-54.9422969952754 -24.0128224793553,-54.3521152418156 -",20950,34.761159705586003,3322,32.693911482061999,7010,0.593073786337000,37,802.101843434385955,577,6.324775607302000,25,127.155563515615995,0.593074,127.156,0.624394,4,4,4,0.50,18.8506,19570.934921,0.0012,0.004136,1258592,0.533808
302,23092,18989,SC,,Leito natural,Estadual,SC-422,0E-15,,0E-15,,0E-15,,0E-15,,,,Mapa DER 2005,,,61.349886213700003,,,0E-15,SC422,,0E-15,0E-15,,,"SRID=4326;POLYGON((-54.5539299451813 -26.3633367371723,-54.5467276816846 -26.1086908030799,-54.5492242000164 -25.833636277141,-54.5491786664812 -25.8332410405365,-54.5307744173143 -25.7407243680607,-54.5284906725553 -25.7200195858268,-54.5273579188228 -2",30071,4.308682432075000,3380,1.242429007907000,6644,4.324814011566000,37,832.487103653974032,1264,3.458623813518000,25,117.002479097188996,3.45862,117.002,0.732511,3,3,3,1.00,45.3831,0.000000,0.0012,0.000707,1258592,0.533808
303,23093,18990,SC,,Pavimentada,Estadual,SC-280,86.000000000000000,,0E-15,,0E-15,,0E-15,BR-280,,,GPS,,,14.178852371500000,S,,0E-15,SC280S,,230.480617453999997,244.659469825000002,,,"SRID=4326;POLYGON((-53.4033414867306 -22.1782052070873,-53.4043859843463 -22.1767458620661,-53.3566620559105 -22.142588395023,-53.3455899938387 -22.1346865373961,-53.3306476986645 -22.1240532378614,-53.2752643667487 -22.085202837212,-53.2751145284526 -22",30179,57.301793105660003,3326,2.410076570477000,7392,0.866271582105000,37,775.007621747921007,1625,1.835580317228000,25,75.951282547283000,0.866272,75.9513,0.649006,2,2,2,0.00,22.0678,15055.296032,0.0012,0.001681,1258592,0.533808
304,23094,18997,SC,,Pavimentada,Estadual,SC-280,99.000000000000000,,0E-15,,0E-15,,0E-15,BR-280,,,GPS,,,9.111551962540000,S,,0E-15,SC280S,,289.860453431999986,298.972005394000007,,,"SRID=4326;POLYGON((-52.0999258614004 -21.4179375237281,-52.2148842797602 -21.4313220934334,-52.1424080977036 -21.4137153852715,-52.1421992421306 -21.4136662945111,-51.9995502233092 -21.3823283612263,-51.9993397669554 -21.3822853391089,-51.8289538502895 -",30179,5.545297911044000,3323,4.174713842024000,6383,7.833074683395000,37,753.292776635600035,579,3.353544165439000,25,104.708654383772000,3.35354,104.709,0.705609,3,3,3,0.33,19.4606,1285.166667,0.0012,0.001948,1258592,0.533808
305,23096,18999,SC,,Pavimentada,Estadual,SC-280,102.000000000000000,,0E-15,,0E-15,,0E-15,BR-280,,PE,GPS,,,0.025612260300000,S,,0E-15,SC280S,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1474,301.917043343999978,301.942655603999981,,,"SRID=4326;MULTIPOLYGON(((-51.8654218412242 -21.3695172939997,-51.8685942044402 -21.3504735594555,-51.7324962079867 -21.3413559894547,-51.6912591836227 -21.3326196127804,-51.6904883782297 -21.3385417722115,-50.8906130482085 -21.2849559773915,-49.918643583",30179,2.673943283353000,3323,1.726507858657000,6383,6.007032852179000,37,751.572524884707036,7512,5.788573464077000,25,110.159726916666003,5.78857,110.16,0.718484,2,2,2,0.00,20.6985,387.666667,0.0012,0.001458,1258592,0.533808
306,23102,19007,SC,116BSC2830,Pavimentada,Federal,BR-116,10.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,,GPS,,,0.419521117640000,S,,0E-15,SC116S,,2.048403587560000,2.467924705200000,,,"SRID=4326;POLYGON((-53.497782139465 -22.7661828139496,-53.4978132469302 -22.7661546097215,-53.4978022049374 -22.7661424311076,-53.4974731841355 -22.7658443304587,-53.4928024159783 -22.7607271573266,-53.4953849626666 -22.7639523522881,-53.4947251720774 -2",24225,1.589550412990000,3687,0E-15,6640,0.004924354695000,37,805.231345530732028,570,1.809340833866000,25,89.146666925112001,0.00492435,89.1467,0.501231,2,2,2,0.00,40.6210,8532.000000,0.0012,0.006917,1275656,0.541046
307,23103,19008,SC,116BSC2830,Pavimentada,Federal,BR-116,9.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,PE,GPS,,,0.034680955220000,S,,0E-15,SC116S,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1490,2.013722632340000,2.048403587560000,,,"SRID=4326;POLYGON((-53.5143438291106 -22.7890892717216,-53.5166360436682 -22.7870346129288,-53.5166183106479 -22.7870148296503,-53.5046504059091 -22.7760470774976,-53.5017512973516 -22.7721464186594,-53.5010680285249 -22.772764077831,-52.7939958776997 -2",24225,1.587331410239000,3687,0.022188550439000,6640,0.342816243082000,37,805.223339495535015,570,1.794178352088000,25,89.140057434940005,0.342816,89.1401,0.585677,2,2,2,0.00,41.5892,7832.000000,0.0012,0.006331,1274256,0.540452
308,23104,19009,SC,116BSC2830,Pavimentada,Federal,BR-116,11.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,PE,GPS,,,0.028467596270000,S,,0E-15,SC116S,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1492,2.467924705200000,2.496392301470000,,,"SRID=4326;POLYGON((-53.5598590865464 -22.8492999684875,-53.5665656793405 -22.8434582282543,-53.5297472900426 -22.8087408351213,-53.5135706557497 -22.7869516912018,-53.5100217795706 -22.7901409366776,-52.8534281799631 -22.171015044404,-52.0228098900439 -2",24225,1.673223909509000,3687,0E-15,6640,0.076388077025000,37,805.327481019739025,570,2.030251107081000,25,89.226830970484002,0.0763881,89.2268,0.519097,2,2,2,0.00,39.6556,9230.000000,0.0012,0.007530,1277052,0.541638
309,17745,18991,SC,101BSC3850,Duplicada,Federal,BR-101,42.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,V,GPS,,,0.013690609317000,D,,0E-15,SC101D,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1358,35.751555978299997,35.765246587599997,,,"SRID=4326;POLYGON((-53.5432695540901 -28.1027983951483,-53.8070764454888 -27.2026942791844,-53.8939535588106 -26.2263806272162,-53.7886920080093 -25.2518776842954,-53.495336935451 -24.3166350520107,-53.0251618120585 -23.4565935802308,-52.3962352041466 -2",30109,6.773879103373000,3686,10.758399215940999,6263,2.970044265057000,37,875.333244364452980,659,11.303233415839999,25,169.875899707863994,2.97004,169.876,0.8351,2,2,2,0.00,26.6179,35450.000000,0.0013,0.027737,1329564,0.563910
